"","hydro_year","annual_discharge","annual_ppt","cum_pae","cum_qa"
"X1953",1953,570.631421034502,718.105189638551,718.105189638551,570.631421034502
"X1954",1954,767.013630919734,1042.29757036679,1760.40276000535,1337.64505195424
"X1955",1955,799.268734598705,753.518011821111,2513.92077182646,2136.91378655294
"X1956",1956,670.186461329844,858.434519988768,3372.35529181522,2807.10024788279
"X1957",1957,755.561983564798,837.953433887029,4210.30872570225,3562.66223144758
"X1958",1958,707.95128796185,785.174139748465,4995.48286545072,4270.61351940943
"X1959",1959,741.243348152164,992.798262576432,5988.28112802715,5011.8568675616
"X1960",1960,847.97066558014,841.384309361184,6829.66543738833,5859.82753314174
"X1961",1961,707.721286799985,672.289833942725,7501.95527133106,6567.54881994172
"X1962",1962,665.548581538986,882.01693704434,8383.9722083754,7233.09740148071
"X1963",1963,645.882530093233,796.57721491214,9180.54942328754,7878.97993157394
"X1964",1964,735.106165442164,1143.28910751443,10323.838530802,8614.08609701611
"X1965",1965,678.110367110853,742.194883751516,11066.0334145535,9292.19646412696
"X1966",1966,726.505417886954,848.783748190128,11914.8171627436,10018.7018820139
"X1967",1967,726.309014676661,947.324833115277,12862.1419958589,10745.0108966906
"X1968",1968,797.883488547844,1036.67558323139,13898.8175790903,11542.8943852384
"X1969",1969,796.814631649288,879.336345991293,14778.1539250816,12339.7090168877
"X1970",1970,587.719326673858,661.813976740063,15439.9679018216,12927.4283435616
"X1971",1971,770.943031233121,961.065999719943,16401.0339015416,13698.3713747947
"X1972",1972,884.727694777001,1124.03995641886,17525.0738579604,14583.0990695717
"X1973",1973,616.744716934899,676.723950749144,18201.7978087096,15199.8437865066
"X1974",1974,813.549559885081,974.844379598,19176.6421883076,16013.3933463917
"X1975",1975,672.875888057212,816.36367320941,19993.005861517,16686.2692344489
"X1976",1976,923.973205417613,1107.70323014859,21100.7090916656,17610.2424398665
"X1977",1977,611.59356030383,664.661690936683,21765.3707826023,18221.8360001703
"X1978",1978,646.750018876707,782.57550640972,22547.946289012,18868.586019047
"X1979",1979,567.421350813466,607.42774904332,23155.3740380553,19436.0073698605
"X1980",1980,597.99315514596,790.98345856765,23946.357496623,20034.0005250065
"X1981",1981,854.164374083383,841.996011696444,24788.3535083194,20888.1648990898
"X1982",1982,904.346109166602,1007.88002980853,25796.2335381279,21792.5110082564
"X1983",1983,847.686207250844,742.502097199102,26538.735635327,22640.1972155073
"X1984",1984,794.671240203865,769.304876964158,27308.0405122912,23434.8684557111
"X1985",1985,684.709007880068,708.682655103447,28016.7231673947,24119.5774635912
"X1986",1986,677.52036661825,772.221119816325,28788.944287211,24797.0978302095
"X1987",1987,633.048171442808,543.884192128745,29332.8284793397,25430.1460016523
"X1988",1988,627.524387250221,739.503207417346,30072.3316867571,26057.6703889025
"X1989",1989,694.166038074936,814.260788424059,30886.5924751811,26751.8364269774
"X1990",1990,838.755684180744,813.154904461853,31699.747379643,27590.5921111582
"X1991",1991,738.219782709022,992.168746678631,32691.9161263216,28328.8118938672
"X1992",1992,600.919506029343,695.585917587793,33387.5020439094,28929.7313998965
"X1993",1993,610.678982751525,639.716730921455,34027.2187748309,29540.4103826481
"X1994",1994,678.541371124869,708.98158723998,34736.2003620708,30218.9517537729
"X1995",1995,610.251540687705,746.536713138634,35482.7370752095,30829.2032944606
"X1999",1999,955.810473568284,1128.7595076659,36611.4965828754,31785.0137680289
"X2000",2000,813.950202201612,785.953404986531,37397.4499878619,32598.9639702305
"X2001",2001,633.662794701834,613.744131099724,38011.1941189616,33232.6267649324
"X2002",2002,757.987297980216,827.770475322149,38838.9645942838,33990.6140629126
"X2003",2003,577.784264017957,599.921008204012,39438.8856024878,34568.3983269305
"X2004",2004,653.687464490735,802.792640625572,40241.6782431134,35222.0857914213
"X2005",2005,792.563942360267,818.259550900567,41059.9377940139,36014.6497337815
"X2006",2006,707.124077195884,650.761962270648,41710.6997562846,36721.7738109774
"X2007",2007,646.594750909385,777.506999808384,42488.206756093,37368.3685618868
"X2008",2008,716.700104379072,736.809167131424,43225.0159232244,38085.0686662659
"X2009",2009,581.492334739936,659.544051423537,43884.5599746479,38666.5610010058
"X2010",2010,547.934360720416,732.005388741765,44616.5653633897,39214.4953617262
"X2011",2011,740.198480951282,835.321941522998,45451.8873049127,39954.6938426775
"X2012",2012,840.157196173611,995.742841475402,46447.6301463881,40794.8510388511
"X2013",2013,687.388766567495,861.466191183511,47309.0963375716,41482.2398054186
"X2014",2014,751.848361626501,798.546786106857,48107.6431236785,42234.0881670451
"X2015",2015,758.001960212391,792.793192438875,48900.4363161173,42992.0901272575
"X2016",2016,775.344996454096,798.675788439532,49699.1121045569,43767.4351237116
"X2017",2017,842.505529114994,829.645209534732,50528.7573140916,44609.9406528266
"X2018",2018,686.584808269628,947.899087303808,51476.6564013954,45296.5254610962
"X2019",2019,657.250923232994,822.060295937613,52298.716697333,45953.7763843292
"X2020",2020,940.929270850401,930.502263760886,53229.2189610939,46894.7056551796
"X2021",2021,677.91272282761,874.73147519311,54103.950436287,47572.6183780072
"X2022",2022,856.743741200681,930.465126724719,55034.4155630117,48429.3621192079
"X2023",2023,492.062349588464,569.211455129788,55603.6270181415,48921.4244687964
