hydro_year,annual_discharge,annual_ppt
1951,660.725832217208,752.221409180452
1953,560.846356064271,718.105189638551
1954,758.707737968659,1042.29757036679
1955,788.032599809593,753.518011821111
1956,658.516037968431,858.434519988768
1957,745.809644695532,837.953433887029
1958,696.906168378313,785.174139748465
1959,730.922467987916,992.798262576432
1960,837.146018671054,841.384309361184
1961,695.323514860635,672.289833942725
1962,655.251139791613,882.01693704434
1963,636.178542959623,796.57721491214
1964,725.684635252195,1143.28910751443
1965,667.363290248407,742.194883751516
1966,716.622055022338,848.783748190128
1967,715.696150723752,947.324833115277
1968,787.284336838767,1036.67558323139
1969,785.155289740161,879.336345991293
1970,576.091515035184,661.813976740063
1971,762.411364044475,961.065999719943
1972,873.436710881028,1124.03995641886
1973,603.809495475983,676.723950749144
1974,804.607401345511,974.844379598
1975,660.959999024578,816.36367320941
1976,914.18467253783,1107.70323014859
1977,598.054879084792,664.661690936683
1978,637.893083727115,782.57550640972
1979,557.974429013261,607.42774904332
1980,589.729794197439,790.98345856765
1981,845.430729854976,841.996011696444
1982,891.825644223222,1007.88002980853
1983,834.478653610087,742.502097199102
1984,782.312970792111,769.304876964158
1985,673.123289760697,708.682655103447
1986,667.551700641953,772.221119816325
1987,623.16201830142,543.884192128745
1988,618.295626183626,739.503207417346
1989,685.009346179427,814.260788424059
1990,828.610990828755,813.154904461853
1991,725.948410855587,992.168746678631
1992,590.168522763832,695.585917587793
1993,601.93884114203,639.716730921455
1994,669.626916170209,708.98158723998
1995,600.334654498234,746.536713138634
1999,946.919775926822,1128.7595076659
2000,799.926728201893,785.953404986531
2001,621.816224422277,613.744131099724
2002,748.778467541276,827.770475322149
2003,566.695177446882,599.921008204012
2004,645.294953014338,802.792640625572
2005,783.007402064243,818.259550900567
2006,695.528074848496,650.761962270648
2007,636.294279716706,777.506999808384
2008,707.276860177584,736.809167131424
2009,571.017869097273,659.544051423537
2010,539.477832042658,732.005388741765
2011,732.209046636564,835.321941522998
2012,829.313495588926,995.742841475402
2013,675.106990921163,861.466191183511
2014,741.850317890488,798.546786106857
2015,747.015476553373,792.793192438875
2016,764.282019020152,798.675788439532
2017,831.186841624607,829.645209534732
2018,674.275289175444,947.899087303808
2019,647.265196641583,822.060295937613
2020,931.343552094932,930.502263760886
2021,664.119925993447,874.73147519311
2022,846.908411163615,930.465126724719
2023,479.520000821408,569.211455129788
